iter	Passed	Remaining
0	3	3385
1	6	3259
2	9	3208
3	12	3186
4	16	3241
5	18	3136
6	22	3125
7	25	3137
8	28	3146
9	32	3183
10	35	3187
11	38	3179
12	41	3166
13	45	3169
14	48	3180
15	51	3188
16	54	3179
17	58	3179
18	61	3169
19	64	3171
20	67	3165
21	71	3169
22	74	3162
23	77	3163
24	81	3196
25	85	3196
26	88	3187
27	91	3187
28	95	3180
29	98	3176
30	101	3170
31	104	3172
32	108	3171
33	111	3180
34	115	3173
35	117	3134
36	120	3126
37	123	3125
38	126	3126
39	130	3136
40	134	3144
41	137	3145
42	141	3142
43	144	3141
44	147	3137
45	151	3139
46	153	3111
47	156	3107
48	160	3105
49	163	3109
50	167	3115
51	171	3120
52	174	3117
53	178	3125
54	181	3124
55	185	3126
56	188	3122
57	192	3121
58	195	3116
59	198	3112
60	201	3108
61	205	3103
62	208	3097
63	215	3158
64	219	3156
65	222	3150
66	226	3147
67	229	3142
68	232	3139
69	235	3125
70	238	3122
71	243	3133
72	246	3130
73	249	3123
74	252	3119
75	257	3132
76	260	3126
77	264	3121
78	267	3115
79	270	3111
80	273	3106
81	277	3101
82	280	3097
83	283	3092
84	286	3088
85	290	3082
86	293	3078
87	296	3072
88	299	3069
89	304	3077
90	307	3072
91	310	3067
92	314	3062
93	318	3071
94	321	3065
95	325	3061
96	328	3056
97	332	3059
98	335	3054
99	338	3050
100	342	3046
101	346	3049
102	349	3044
103	353	3041
104	356	3035
105	359	3031
106	362	3026
107	367	3031
108	370	3026
109	373	3023
110	377	3023
111	381	3023
112	384	3020
113	388	3017
114	393	3025
115	396	3021
116	399	3016
117	402	3010
118	407	3018
119	410	3012
120	413	3007
121	417	3001
122	420	2996
123	423	2991
124	426	2986
125	429	2982
126	433	2977
127	437	2982
128	440	2977
129	444	2972
130	447	2970
131	451	2971
132	455	2967
133	458	2962
134	461	2958
135	464	2953
136	469	2957
137	472	2952
138	476	2949
139	479	2944
140	482	2940
141	485	2935
142	489	2932
143	492	2927
144	497	2935
145	501	2931
146	504	2925
147	507	2921
148	512	2926
149	515	2921
150	518	2916
151	522	2912
152	525	2907
153	528	2904
154	531	2899
155	534	2894
156	538	2889
157	541	2885
158	544	2880
159	547	2876
160	551	2873
161	554	2868
162	558	2866
163	561	2863
164	565	2859
165	569	2858
166	572	2856
167	576	2855
168	579	2851
169	583	2848
170	587	2849
171	591	2846
172	594	2843
173	598	2839
174	601	2836
